School name,State,City,Degree of urbanization,Number of applicants,Has Early Decision (ED) Plan?,Has Early Action (EA) Plan?,Acceptance rate,ED admit rate,EA admit rate,RD admit rate,Average GPA,GPA Weighted,Percent of students with GPA (4.0+),Percent of students with GPA (3.75-3.99),Percent of students with GPA (3.00-3.24),Percent of students with GPA (3.25-3.49),Percent of students with GPA (2.00-2.49),Percent of students with GPA (Below 1.00),Percent of students with GPA (2.50-2.99),Percent of students with GPA (3.50-3.74),ACT Composite 25th,ACT Composite 50th,ACT Composite 75th,ACT English 75th,ACT Reading 75th,ACT Reading 50th,ACT English 50th,ACT English 25th,ACT Reading 25th,ACT Math 25th,ACT Science 25th,ACT Science 50th,ACT Math 50th,ACT Math 75th,ACT Science 75th,Percentage of enrolled freshmen submitting ACT scores,SAT Reading 25th,SAT Reading 50th,SAT Reading 75th,SAT Math 75th,SAT Composite 50th,SAT Composite 75th,SAT Math 50th,SAT Math 25th,SAT Composite 25th,Percentage of enrolled freshmen submitting SAT scores,Percent Women,Percent Men,Percent Non-binary,Percent Hispanic/Latino,Percent Black or African American,Percent White or Caucasian,Percent American Indian or Alaska Native,Percent Asian,Percent Native Hawaiian or Pacific Islander,Percent Other,Published in-state tuition and fees,Published out-of-state tuition and fees,Total price for in-state students living on campus,Number of men enrolled,Number of women enrolled,Number of students enrolled,Estimated undergraduate enrollment full time,4 year graduation rate,Retention rate,6 year graduation rate,Average Aid Package: Freshmen without need receiving merit-based scholarships and grants (dollar amt),Average Aid Package: Freshmen without need receiving merit-based scholarships and grants (percentage),Average amount of institutional grant aid received by full-time first-time undergraduates,Average net price-students receiving grant or scholarship aid,Average amount of other federal grant aid received by full-time first-time undergraduates,Average amount of Pell grant aid received by full-time first-time undergraduates,Average amount of state/local grant aid received by full-time first-time undergraduates,Average amount of student loan aid received by full-time first-time undergraduates,Average amount of federal student loan aid received by full-time first-time undergraduates,Average amount of other student loan aid received by full-time first-time undergraduates,Average amount of federal  state  local or institutional grant aid received,Percent of full-time first-time undergraduates receiving any financial aid,Percent of full-time first-time undergraduates receiving federal state local or institutional grant aid,Percent of full-time first-time undergraduates receiving other federal grant aid,Percent of full-time first-time undergraduates receiving state/local grant aid,Percent of full-time first-time undergraduates receiving Pell grants,Percent of full-time first-time undergraduates receiving any loans to students or grant aid  from federal state/local government or the institution,Percent of full-time first-time undergraduates receiving institutional grant aid,Percent of full-time first-time undergraduates receiving federal student loans,Percent of full-time first-time undergraduates receiving student loan aid,Percent of full-time first-time undergraduates receiving other loan aid,Percent of full-time first-time undergraduates  receiving federal grant aid,Average net price (income over 110 000),"Average net price (income 75,001-110,000)","Average net price (income 48,001-75,000)","Average net price (income 30,001-48,000)","Average net price (income 0-30,000)",Student
The College of Idaho,ID,Caldwell,Suburb: Midsize,"4,553",No,Yes,47%,---,---,47%,---,---,---,---,---,---,---,---,---,---,20,24,28,---,---,---,---,---,---,---,---,---,---,---,---,17%,530,590,620,620,1160,1270,570,540,1080,41%,56%,44%,---,20%,2%,64%,1%,2%,1%,10%,"$39,090","$39,090","$55,563",131,165,297,"1,049",56%,77%,64%,"$22,482",47%,"$24,744","$22,602",$928,"$5,026","$2,140","$6,373","$5,062","$12,461","$25,927",100%,100%,19%,2%,28%,100%,98%,49%,49%,5%,28%,"$25,125","$21,946","$17,013","$18,437","$15,367",
The College of New Jersey,NJ,Ewing,Suburb: Large,"12,766",Yes,No,62%,75%,---,62%,---,---,---,---,---,---,---,---,---,---,26,28,31,---,---,---,---,---,---,24,---,---,26,29.5,---,3%,570,620,670,670,1240,1340,620,570,1140,39%,57%,43%,---,18%,6%,59%,---,10%,---,7%,"$20,398","$26,762","$43,290",674,886,"1,547","7,435",75%,91%,86%,"$4,883",42%,"$9,442","$22,379","$1,434","$5,115","$8,567","$11,187","$5,243","$20,661","$13,824",85%,62%,4%,20%,24%,80%,57%,48%,50%,15%,24%,"$33,080","$28,825","$20,638","$14,506","$12,814",
The College of Saint Scholastica,MN,Duluth,City: Small,"1,605",No,No,94%,---,---,94%,3.46,No,5.47%,28.94%,13.18%,15.76%,2.25%,0.30%,14.15%,19.94%,21,24,27,26,---,---,22,21,---,21,---,---,23,27,---,24.10%,---,---,---,---,---,---,---,---,---,0.30%,60%,40%,---,4%,5%,78%,1%,3%,---,9%,"$43,050","$43,050","$59,628",137,208,349,"1,755",53%,78%,63%,"$22,319",65%,"$25,130","$23,913","$4,205","$4,785","$6,347","$10,267","$5,152","$13,517","$28,853",100%,98%,11%,34%,23%,100%,97%,55%,57%,22%,24%,"$29,389","$25,155","$18,824","$17,452","$14,932",
The College of Wooster,OH,Wooster,Town: Distant,"5,473",Yes,Yes,60%,39%,72%,48%,3.74,No,38%,17%,8%,12%,2%,---,8%,17%,27,30,33,34,---,---,31,26,---,25,---,---,28,30,---,22%,630,690,740,720,1360,1450,670,590,1250,25%,52%,48%,---,6%,11%,71%,---,5%,---,6%,"$64,210","$64,210","$82,060",177,193,452,"1,738",63%,82%,74%,"$39,386",100%,"$42,063","$29,529","$1,213","$5,240","$3,873","$8,098","$4,990","$18,030","$43,534",100%,100%,19%,7%,19%,100%,100%,44%,46%,8%,19%,"$32,701","$26,899","$23,052","$14,787","$15,018",
The Cooper Union for the Advancement of Science and Art,NY,New York,City: Large,"1,790",---,---,19%,---,---,19%,3.75,No,---,---,---,---,---,---,---,---,33,33,34,35,---,---,34,33,---,32,---,---,34,35,---,9%,680,720,740,780,1480,1520,760,720,1400,43%,53%,47%,---,13%,5%,37%,---,32%,---,12%,"$46,820","$46,820","$69,546",85,95,180,898,64%,93%,83%,---,---,"$37,278","$28,199","$3,833","$5,657","$2,919","$7,657","$5,006","$27,290","$39,187",100%,100%,5%,9%,25%,100%,100%,29%,30%,3%,29%,"$31,201","$11,674","$12,057","$8,563","$8,188",
The Evergreen State College,WA,Olympia,Suburb: Midsize,"1,300",Yes,No,96%,---,---,96%,3.2,No,2%,9%,20%,15%,13%,---,23%,14%,23,26,29,30,---,---,23,23,---,19,---,---,19,26,---,5%,540,600,663,590,1130,1260,530,495,890,7%,56%,44%,---,15%,7%,56%,4%,2%,1%,15%,"$9,618","$33,006","$23,289",131,170,364,"2,303",29%,73%,42%,"$2,126",13%,"$6,599","$18,480","$1,741","$5,299","$5,776","$5,667","$5,040","$19,294","$10,278",88%,85%,8%,34%,35%,88%,75%,43%,44%,2%,35%,"$25,934","$25,683","$24,430","$20,956","$19,969",
The Juilliard School,NY,New York,City: Large,"2,020",No,No,9%,---,---,9%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,52%,48%,---,15%,11%,44%,---,18%,1%,11%,"$57,650","$57,650","$86,282",46,49,95,619,84%,97%,90%,"$22,854",69%,"$37,615","$42,468","$1,354","$5,467","$5,665","$5,545","$5,450","$8,495","$38,649",95%,94%,12%,1%,13%,94%,94%,29%,30%,1%,13%,"$48,999","$34,340","$30,694","$15,645","$19,135",
The University of Alabama,AL,Tuscaloosa,City: Midsize,"56,795",No,No,77%,---,---,77%,3.86,No,42%,19%,8%,12%,1%,---,3%,16%,22,27,30,32,---,---,27,21,---,19,---,---,26,28,---,54%,560,640,670,680,1280,1400,640,540,1170,20%,58%,42%,---,8%,12%,72%,---,1%,---,7%,"$12,484","$35,342","$34,528","3,336","4,637","8,279","34,389",56%,90%,74%,"$19,109",73%,"$16,096","$21,761","$2,305","$5,202",$969,"$11,983","$5,310","$26,980","$16,394",84%,72%,4%,5%,20%,83%,66%,37%,40%,11%,20%,"$25,773","$25,396","$23,056","$19,928","$18,592",
The University of Montana,MT,Missoula,City: Small,"9,576",No,No,96%,---,---,96%,3.39,No,14%,21%,12%,13%,7%,---,13%,18%,21,24,27,27,---,---,---,19,---,18,---,---,---,26,---,36%,560,---,670,620,---,---,---,520,---,8%,57%,43%,---,6%,1%,72%,3%,1%,---,16%,"$11,176","$36,384","$32,730","1,166","1,522","1,652","8,014",33%,75%,49%,"$7,174",68%,"$8,199","$17,775",$555,"$4,941","$3,046","$7,482","$5,174","$17,642","$9,208",93%,87%,13%,9%,29%,91%,76%,50%,50%,7%,29%,"$20,648","$18,911","$17,795","$15,563","$14,521",
The University of Montana-Western,MT,Dillon,Town: Remote,793,No,No,99%,---,---,99%,3.3,No,5%,20%,12%,15%,8%,---,15%,22%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,59%,40%,2%,4%,1%,81%,6%,1%,1%,6%,"$6,430","$19,038","$21,712",118,175,300,"1,440",25%,79%,47%,"$1,775",1%,"$4,873","$15,726",$439,"$5,004","$4,487","$14,879","$15,646","$7,365","$8,091",86%,62%,11%,46%,31%,79%,44%,37%,41%,4%,32%,"$18,898","$18,511","$16,516","$15,286","$15,093",
The University of Tampa,FL,Tampa,City: Large,"37,954",Yes,Yes,40%,57%,54%,17%,3.6,No,5.74%,30.86%,11.39%,20.99%,---,---,3.58%,27.44%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,58%,42%,---,14%,3%,74%,---,2%,---,7%,"$35,744","$35,744","$58,516","1,077","1,463","2,505","10,594",55%,85%,64%,"$12,806",52%,"$12,361","$35,975","$1,309","$4,797","$3,708","$8,410","$5,522","$13,595","$13,897",97%,95%,10%,20%,14%,97%,94%,77%,77%,17%,14%,"$37,275","$33,835","$33,645","$29,966","$30,631",
The University of Tennessee-Knoxville,TN,Knoxville,City: Midsize,"59,764",---,---,42%,---,---,42%,4.17,Yes,72.10%,12.89%,1.63%,4.48%,0.04%,---,0.67%,8.13%,25,28,31,32,---,---,28,24,---,24,---,---,26,29,---,81%,600,630,680,690,1260,1340,630,600,1190,24%,53%,47%,---,7%,4%,79%,---,4%,---,7%,"$13,812","$32,956","$35,410","3,198","3,596","6,694","30,564",56%,92%,74%,"$5,871",77%,"$7,539","$20,885","$1,269","$5,240","$5,431","$10,134","$5,208","$23,030","$11,491",90%,85%,7%,52%,17%,89%,78%,29%,32%,7%,17%,"$25,438","$23,297","$18,820","$12,714","$9,397",
The University of Texas at Austin,TX,Austin,City: Large,"72,885",No,---,27%,---,---,27%,---,---,---,---,---,---,---,---,---,---,27,31,33,35,---,---,32,26,---,25,---,---,29,33,---,20%,620,680,730,760,1370,1490,690,610,1230,63%,58%,42%,---,30%,5%,32%,---,27%,---,7%,"$11,476","$45,558","$32,962","3,802","5,254","9,385","43,165",73%,97%,89%,"$3,998",8%,"$4,449","$18,036",$902,"$5,262","$7,410","$6,066","$5,138","$18,848","$12,060",69%,47%,2%,32%,27%,56%,40%,29%,30%,2%,27%,"$28,972","$25,697","$18,618","$15,543","$12,972",
The University of the South,TN,Sewanee,Rural: Distant,"4,703",Yes,Yes,57%,55%,80%,31%,---,---,---,---,---,---,---,---,---,---,26,29,31,34,---,---,33,26,---,24,---,---,27,29,---,43%,620,660,700,680,1305,1398,645,590,1236,20%,50%,48%,2%,6%,4%,85%,---,1%,---,4%,"$58,226","$58,226","$77,184",230,240,449,"1,644",73%,89%,80%,"$27,492",88%,"$32,944","$33,616","$3,773","$5,137","$6,148","$5,316","$5,157","$4,483","$35,088",97%,97%,4%,19%,14%,97%,97%,34%,34%,1%,14%,"$37,122","$26,923","$18,421","$14,429","$10,970",
Thomas Aquinas College,CA,Santa Paula,Rural: Distant,168,No,No,80%,---,---,80%,3.78,No,19%,51%,2%,16%,---,---,1%,12%,27,29,33,35,---,---,30,29,---,22,---,---,27,29,---,13%,640,640,730,730,1250,1330,610,580,1160,46%,48%,52%,---,23%,---,64%,---,2%,1%,10%,"$31,000","$31,000","$46,934",49,45,143,372,82%,92%,84%,---,---,"$14,254","$23,039",---,"$4,994","$10,458","$3,799","$3,571","$7,332","$16,961",74%,66%,---,7%,24%,74%,65%,68%,71%,4%,24%,"$28,063","$25,048","$19,464","$18,508","$16,761",
Thomas College,ME,Waterville,Rural: Fringe,853,No,No,97%,---,---,97%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,49%,51%,---,3%,6%,83%,1%,1%,---,7%,"$64,172","$64,172","$80,526",98,96,194,"1,581",33%,79%,45%,"$17,000",92%,"$21,251","$18,882","$1,309","$5,148","$2,483","$7,671","$5,432","$11,726","$24,868",100%,100%,39%,36%,40%,100%,100%,83%,84%,17%,40%,"$24,441","$20,590","$16,595","$14,423","$14,911",
Tougaloo College,MS,Tougaloo,City: Midsize,"1,976",Yes,No,8%,---,---,8%,2.8,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,59%,41%,---,2%,90%,---,---,---,---,7%,"$13,394","$13,394","$22,562",51,74,129,725,19%,82%,31%,---,27%,"$3,452","$12,158","$1,076","$5,655","$4,221","$7,332","$6,804","$6,642","$10,175",100%,88%,78%,58%,78%,90%,56%,51%,51%,4%,78%,"$22,070","$21,470","$21,637","$15,342","$14,824",
Touro University Worldwide,CA,Los Angeles,Suburb: Large,---,---,---,---,---,---,---,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,91%,9%,---,7%,25%,33%,1%,3%,1%,30%,"$20,120","$20,120","$46,642",2,21,---,413,36%,90%,50%,---,---,"$2,441","$18,428","$2,000","$6,041","$8,257","$6,929","$6,929",---,"$10,588",87%,83%,26%,61%,52%,87%,22%,30%,30%,---,52%,"$17,452","$19,620","$18,397","$14,353","$15,310",
Trevecca Nazarene University,TN,Nashville,City: Large,"2,448",Yes,No,69%,---,---,69%,3.47,No,7.47%,27.91%,12.31%,15.16%,2.86%,---,13.85%,20.44%,18,21,24,25,---,---,21,18,---,16,---,---,19,23.5,---,84%,510,550,610,625,1090,1193,540,470,973,16%,60%,40%,---,16%,12%,60%,1%,2%,---,8%,"$33,300","$33,300","$48,330",182,274,375,"1,903",44%,73%,52%,---,---,"$17,287","$16,222","$1,839","$4,966","$6,226","$6,337","$5,026","$12,661","$22,579",100%,100%,7%,55%,33%,100%,100%,38%,39%,4%,33%,"$19,093","$17,725","$12,303","$11,298","$11,013",
Trident University International,---,Cypress,---,---,No,No,---,---,---,---,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,"$12,450","$12,450","$22,936",---,---,---,---,---,---,---,"$6,639",1%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Trinidad State College,CO,Trinidad,Town: Remote,"1,834",No,No,100%,---,---,100%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,45%,55%,---,45%,8%,36%,2%,1%,1%,7%,"$4,573","$7,283","$18,725",150,121,---,"1,636",---,67%,---,---,---,"$5,467","$11,323","$1,016","$5,928","$3,520","$6,251","$5,560","$11,767","$8,776",100%,100%,95%,46%,58%,100%,49%,19%,20%,1%,95%,"$21,373","$17,590","$12,281","$10,089","$10,546",
Trinity College,CT,Hartford,City: Midsize,"7,460",Yes,No,29%,44%,---,28%,---,---,---,---,---,---,---,---,---,---,30,31,34,35,---,---,32,29,---,27,---,---,28,33,---,3%,658,690,740,730,1390,1460,700,640,1310,7%,51%,49%,---,12%,7%,68%,---,5%,---,8%,"$73,590","$73,590","$95,840",265,276,579,"2,204",77%,90%,84%,"$23,543",20%,"$50,051","$31,806","$1,893","$5,383","$4,638","$9,530","$5,100","$19,981","$51,240",72%,67%,5%,1%,12%,71%,67%,37%,42%,10%,12%,"$46,149","$26,084","$18,756","$16,202","$19,032",
Trinity College of Nursing & Health Sciences,IL,Rock Island,City: Small,"40,462",Yes,No,81%,---,---,81%,3.42,No,---,---,---,---,---,---,---,---,18,---,24,---,---,---,---,---,---,---,---,---,---,---,---,46%,---,---,---,---,---,---,---,---,---,---,---,---,---,13%,7%,55%,---,10%,1%,12%,---,---,---,---,---,---,59,50%,100%,50%,---,---,---,---,---,"$4,542",---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
Trinity University,TX,San Antonio,City: Large,"12,506",Yes,Yes,26%,48%,---,25%,3.75,No,22%,39%,4%,13%,---,---,1%,21%,30,32,34,35,---,---,33,30,---,26,---,---,29,32,---,15%,660,700,740,740,1390,1465,690,640,1320,33%,54%,46%,---,26%,5%,53%,---,9%,---,7%,"$56,496","$56,496","$74,298",298,351,659,"2,518",72%,93%,84%,"$27,801",94%,"$31,314","$32,264","$1,989","$5,495","$4,028","$8,079","$5,109","$10,715","$33,524",99%,99%,16%,24%,17%,99%,99%,31%,31%,9%,17%,"$35,186","$24,156","$15,774","$12,334","$14,184",
Trinity Washington University,DC,Washington,City: Large,"1,114",No,No,99%,---,---,99%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,100%,---,---,34%,59%,1%,---,1%,---,5%,"$27,135","$27,135","$39,535",---,208,259,"1,604",20%,71%,38%,"$10,658",60%,"$13,743","$12,704","$2,181","$4,859","$8,575","$4,891","$4,726","$4,805","$21,814",98%,98%,16%,45%,67%,98%,98%,44%,44%,2%,67%,"$20,561","$17,830","$13,393","$11,256","$11,164",
Tufts University,MA,Medford,Suburb: Large,"34,330",Yes,No,12%,---,---,12%,---,---,---,---,---,---,---,---,---,---,33,34,35,---,---,---,---,---,---,---,---,---,---,---,---,18%,720,740,770,790,1510,1550,770,750,1460,38%,56%,41%,3%,12%,7%,46%,---,19%,---,16%,"$73,616","$73,616","$96,028",745,"1,013","1,739","7,126",82%,96%,94%,"$45,237",6%,"$49,709","$33,333",$806,"$5,569","$4,009","$8,657","$3,751","$11,848","$51,267",46%,41%,11%,3%,12%,44%,41%,19%,20%,8%,12%,"$53,400","$26,964","$14,963","$11,995","$10,526",
Tulane University,LA,New Orleans,City: Large,"32,609",Yes,Yes,14%,59%,---,11%,3.7,No,12.81%,40.27%,4.41%,11.28%,0.44%,---,1.69%,28.99%,31,32,34,35,---,---,34,31,---,27,---,---,29,33,---,28%,700,720,750,770,1450,1510,730,700,1390,13%,63%,37%,---,12%,6%,69%,---,6%,---,7%,"$71,998","$71,998","$94,554",685,"1,153","1,867","7,283",78%,93%,86%,"$21,264",35%,"$31,406","$50,631","$3,328","$4,857","$6,464","$9,543","$5,166","$36,426","$33,074",64%,60%,10%,8%,9%,63%,59%,23%,24%,3%,11%,"$58,219","$36,543","$26,839","$22,974","$20,957",
Union College,NY,Schenectady,City: Small,"8,210",Yes,Yes,44%,42%,53%,38%,3.7,No,14%,23%,12%,23%,1%,---,5%,21%,29,32,33,35,---,---,33,29,---,27,---,---,29,32,---,11%,660,690,720,760,1400,1480,710,650,1310,32%,47%,53%,---,12%,5%,70%,---,8%,---,4%,"$71,676","$71,676","$91,416",263,237,550,"2,065",72%,90%,81%,"$24,885",80%,"$36,993","$42,884",$875,"$5,317","$7,670","$7,738","$4,931","$13,200","$38,751",95%,94%,15%,10%,15%,95%,94%,46%,50%,12%,15%,"$48,517","$28,376","$21,768","$15,506","$15,257",
Union Commonwealth University,KY,Barbourville,Town: Remote,834,Yes,Yes,55%,42%,---,66%,3.7,No,14%,23%,12%,23%,1%,---,5%,21%,14,17,21,21,---,---,16,13,---,15,---,---,17,21,---,59%,460,500,560,545,1020,1105,520,460,920,16%,28%,72%,---,4%,17%,69%,1%,1%,1%,7%,"$71,676","$71,676","$91,416",141,55,198,737,72%,58%,81%,"$24,885",80%,"$16,918","$19,223","$1,071","$5,720","$7,517","$5,924","$5,299","$4,409","$24,684",98%,98%,13%,57%,56%,98%,98%,69%,71%,13%,57%,"$44,375","$44,375","$25,500","$15,306","$12,372",
United States Air Force Academy,CO,USAFA,Town: Fringe,"9,543",---,No,14%,---,---,14%,3.8,No,22.30%,60.20%,1.60%,5.60%,---,---,1.60%,8.70%,26,30,33,34,---,---,30,25,---,25,---,---,28,31,---,38%,620,670,710,740,1350,1450,680,630,1250,62%,29%,71%,---,12%,6%,64%,---,7%,1%,10%,---,---,---,753,301,"1,054","4,124",86%,96%,89%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
United States Military Academy,NY,West  Point,Town: Fringe,"12,320",No,No,12%,---,---,12%,4.1,Yes,75.57%,8.67%,2.05%,3.07%,0.16%,---,0.55%,9.85%,27,31,33,34,---,---,31,26,---,26,---,---,29,32,---,32%,600,660,710,720,1330,1430,670,600,1200,68%,22%,78%,---,12%,9%,64%,1%,12%,1%,2%,---,---,---,931,264,"1,210","4,473",84%,95%,87%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
United States Naval Academy,MD,Annapolis,Suburb: Large,"14,727",Yes,Yes,9%,---,---,9%,---,---,---,---,---,---,---,---,---,---,24,28,31,33,---,---,28,24,---,25,---,---,27,30,---,45%,600,650,700,720,1300,1420,650,600,1200,74%,32%,68%,---,15%,6%,59%,---,10%,---,10%,---,---,---,792,365,"1,175","4,465",87%,96%,90%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,
United States University,---,National City,---,"1,290",---,---,82%,---,---,82%,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,32%,9%,42%,1%,8%,2%,5%,"$6,600","$6,600","$8,200",---,---,---,178,---,---,---,---,---,---,"$20,197",---,"$4,320","$9,465","$12,168","$12,168",---,"$8,161",32%,26%,---,11%,26%,32%,---,26%,26%,---,26%,---,---,---,---,"$21,557",
Unitek College,---,Fremont,---,5,---,---,40%,---,---,40%,---,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,82%,18%,---,28%,5%,10%,1%,27%,2%,28%,"$35,284","$35,284","$36,294",60,274,---,"5,191",---,86%,---,---,---,---,"$23,984","$1,145","$4,298","$6,750","$8,244","$6,643","$13,575","$4,460",76%,58%,8%,2%,58%,76%,---,58%,65%,11%,58%,---,"$28,357","$28,357","$25,980","$25,388",
Universidad del Sagrado Corazon,PR,Santurce,City: Large,"3,638",No,No,53%,---,---,53%,2.99,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,68%,32%,---,100%,---,---,---,---,---,---,"$6,830","$6,830","$26,130",306,640,977,"4,099",13%,79%,39%,---,---,"$2,384","$13,076",$733,"$5,756",$598,"$4,477","$4,327","$12,000","$6,596",91%,88%,22%,5%,81%,91%,27%,10%,10%,---,81%,"$19,383","$17,318","$15,784","$12,926","$12,215",
University at Buffalo,NY,Buffalo,Suburb: Large,"40,856",No,Yes,74%,---,82%,70%,3.7,No,36.20%,13.40%,11.60%,11.20%,0.10%,---,6.70%,20.80%,27,30,32,33,---,---,29,25,---,26,---,---,28,31,---,2.60%,600,640,680,700,1290,1380,650,610,1210,28%,45%,55%,---,11%,11%,49%,1%,21%,---,8%,"$11,036","$32,466","$35,850","2,331","1,907","4,271","20,360",60%,85%,75%,"$4,561",27%,"$3,886","$20,511",$684,"$5,570","$4,796","$7,787","$5,091","$14,718","$9,996",86%,74%,22%,51%,38%,86%,68%,50%,51%,10%,38%,"$26,546","$23,286","$21,261","$16,624","$14,240",
University of Advancing Technology,---,Tempe,---,804,No,No,95%,---,---,95%,2.5,No,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,25%,75%,---,18%,14%,47%,2%,3%,---,17%,"$26,400","$26,400","$26,400",85,28,171,892,41%,79%,42%,---,---,"$7,344","$21,148",$229,"$4,593","$2,138","$11,800","$6,317","$17,504","$10,332",98%,96%,31%,4%,50%,98%,93%,81%,81%,25%,50%,"$22,822","$23,343","$21,699","$18,608","$19,401",
University of Alaska Anchorage,AK,Anchorage,City: Large,"4,184",No,No,60%,---,---,60%,3.14,No,---,20%,14%,15%,10%,---,23%,15%,17,---,24,23,---,---,---,14,---,16,---,---,---,21.5,---,7.09%,530,---,620,590,---,---,---,490,---,11.10%,55%,45%,---,10%,4%,48%,6%,12%,1%,18%,"$8,824","$26,824","$31,037",413,500,"1,306","9,965",13%,71%,28%,"$5,570",65%,"$3,515","$13,931",$565,"$4,344","$4,295","$6,484","$5,089","$16,170","$7,545",83%,76%,14%,46%,32%,81%,58%,20%,20%,2%,34%,"$19,563","$18,947","$13,543","$11,993","$11,436",
University of Alaska Fairbanks,AK,Fairbanks,Suburb: Small,"3,677",No,No,62%,---,---,62%,3.37,No,---,31%,10%,17%,6%,---,13%,19%,18,---,25,24,---,---,---,16,---,16,---,---,---,25,---,11%,550,---,670,640,---,---,---,520,---,14%,51%,49%,---,10%,3%,54%,13%,3%,---,17%,"$10,920","$27,900","$26,210",342,353,---,"5,912",25%,74%,39%,"$5,570",65%,"$6,016","$9,985",$485,"$4,237","$5,283","$7,454","$5,277","$15,497","$10,102",89%,84%,15%,47%,30%,88%,71%,25%,27%,4%,30%,"$16,203","$13,515","$9,719","$8,206","$7,494",
University of Alaska Southeast,AK,Juneau,Town: Remote,346,---,---,63%,---,---,63%,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,11.50%,---,---,---,---,---,---,---,---,---,16.40%,56%,44%,---,10%,2%,54%,10%,7%,---,18%,"$6,960","$21,096","$27,128",40,50,148,"1,768",7%,77%,21%,"$3,545",31%,"$3,823","$8,488",$889,"$4,283","$5,087","$7,022","$5,429","$13,133","$7,974",81%,76%,8%,43%,30%,78%,59%,25%,28%,5%,30%,"$11,405","$11,027","$12,084","$3,510","$4,340",
University of Antelope Valley,---,Lancaster,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,44%,20%,13%,2%,2%,1%,18%,---,---,---,---,---,---,453,26%,58%,37%,---,---,"$5,448","$6,532","$1,918","$5,431","$6,948","$6,081","$6,081",---,"$10,645",55%,53%,36%,8%,38%,55%,37%,36%,36%,---,44%,---,---,"$6,048","$2,176",---,
University of Arizona,AZ,Tucson,City: Large,"58,339",No,No,86%,---,---,86%,3.47,No,14%,24%,12%,14%,2%,---,17%,17%,21,26,28,29,---,---,25,20,---,21,---,---,25,28,---,18%,560,640,670,680,1280,1420,640,560,1160,11%,60%,40%,---,29%,5%,48%,2%,5%,---,12%,"$13,573","$39,903","$35,369","3,498","5,245","9,158","45,025",49%,83%,68%,"$11,450",90%,"$15,095","$18,144","$1,112","$5,146","$3,597","$7,484","$5,013","$19,862","$16,511",98%,97%,9%,7%,21%,98%,96%,26%,28%,4%,22%,"$20,936","$20,124","$15,497","$13,789","$12,043",
